site,station_code,date_sampled,REGsites,WBID,"2, 4-D_1",Aceta_1,Alkalinity_1,ATEMP_1,BacR_1,Bentazon_1,Carbamazepine_1,CHLa_C_1,CHLa_C_2,CHLa_UnC_1,CHLa_UnC_2,CHLb_Tri_N_1,CHLb_Tri_N_2,CHLc_Tri_N_1,CHLc_Tri_N_2,DG3_1,Diuron_1,DO_1,DO_p_1,DTKN_1,DTKN_2,DTKN_3,ENTERO_1,FECCOL_1,Fenuron_1,Fluoride_1,Fluridone_1,GFD_1,GULL2_1,HF183_1,Hydrocodone_1,Ibuprofen_1,Imazapyr_1,Imidacloprid_1,Linuron_1,MCPP_1,Naproxen_1,NH4_N_1,NH4_N_2,NH4_N_3,NO23F_1,OD664b/OD665a_1,OD664b/OD665a_2,pH_1,PHEA_1,PHEA_2,Primidone_1,Pyraclostrobin_1,SALT_1,SECCHI_1,SpCond_1,Sucra_1,TKN_1,TN_1,TP_1,TP_2,TP_3,Triclopyr_1,TSS_1,Turbidity_1,TURBIDITY_1,W-CL-IC_1,W-COLOR_1,W-SO4-IC_1,W-TDS_1,W-TOC_1,WDEPTH_1,WIND_D_1,WIND_S_1,WTEM_1
Micklers,GTMMKNUT,2018-11-07T13:39:00Z,Excluded,Lake,NA,NA,NA,26.8,NA,NA,NA,2.3,2.3,2.6,2.6,2.3,2.3,2.3,2.3,NA,NA,2.2,26,1.07,27.4,1.14,10,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077,NA,NA,0.014,1.42,1.39,7.38,2.3,2.3,NA,NA,0.41,NA,836,NA,0.92,0.93,0.0558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0060975609756098,NA,1.5,23.9
Micklers,GTMMKNUT,2018-12-05T14:22:00Z,Excluded,Lake,NA,NA,NA,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14,NA,NA,NA,NA,0.32,NA,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,2.8,14.9
Micklers,GTMMKNUT,2019-01-22T15:15:00Z,Excluded,Lake,NA,NA,NA,18.61111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.05,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.87,NA,NA,NA,NA,0.36,NA,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3716,NA,0.89408,13.9
Micklers,GTMMKNUT,2019-02-04T16:10:00Z,Excluded,Lake,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67,88.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,0.32,NA,648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03632,NA,0.5,16.3
FDEP Lake 1,GTMGL1NUT,2018-07-11T12:50:00Z,Lake,Lake,NA,NA,130,32.4,NA,NA,NA,4.5,NA,5.8,NA,NA,NA,NA,NA,NA,NA,8.89,123.3,1.1,NA,NA,340,10,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,0.004,NA,NA,8.11,1.9,NA,NA,NA,0.39,NA,807,NA,1.1,NA,0.056,NA,NA,NA,2,1.1,NA,NA,NA,NA,NA,24,0.10670731707317073,NA,1.5,31.5
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Lake,Lake,NA,NA,NA,30.4,NA,NA,NA,6.1,NA,6.6,NA,1.4,NA,1.4,NA,NA,NA,4.66,62,1.06,NA,NA,2600,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039,NA,NA,0.012,1.65,NA,7.57,1.4,NA,NA,NA,0.37,NA,755,NA,0.52,0.53,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,1.2,29.1
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Lake,Lake,0.14,0.008,117,29.3,1500,0.12,9.7e-4,5.6,NA,6.4,NA,NA,NA,NA,NA,1300,0.019,2.54,32.7,1,NA,NA,31,40,0.016,0.2,0.11,170,8400,140,8e-4,0.02,0.12,0.0071,0.004,0.002,0.008,0.036,NA,NA,0.004,NA,NA,7.37,0.88,NA,0.004,0.002,0.34,NA,696,1.6,1.1,NA,0.1,NA,NA,0.004,3,1.5,NA,NA,NA,NA,NA,20,0.3,NA,3.3,28.4
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Lake,Lake,NA,NA,NA,25.4,NA,NA,NA,3.3,NA,4.3,NA,1,NA,1,NA,NA,NA,3.9,44.3,1.25,NA,NA,95,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,NA,0.011,1.5,NA,7.4,1.3,NA,NA,NA,0.42,NA,846,NA,0.94,0.95,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,3.3,21.3
FDEP Lake 1,GTMGL1NUT,2018-11-07T12:03:00Z,Lake,Lake,NA,NA,NA,25.9,NA,NA,NA,3.8,NA,5,NA,2.5,NA,2.5,NA,NA,NA,5.34,64.3,1.12,NA,NA,10,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079,NA,NA,0.008,1.48,NA,7.8,2.5,NA,NA,NA,0.44,NA,906,NA,1.16,1.16,0.0731,0.565,0.0709,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,2,24.7
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Lake,Lake,NA,NA,116,12,NA,NA,NA,1.4,NA,1.8,NA,NA,NA,NA,NA,NA,NA,0.24,62,0.81,NA,NA,41,36,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,NA,NA,0.004,NA,NA,7.25,0.6,NA,NA,NA,0.35,NA,705,NA,0.77,NA,0.07,NA,NA,NA,2,0.65,NA,100,79,53,442,19,0.21336,NA,3.5,14.8
FDEP Lake 1,GTMGL1NUT,2019-01-22T13:25:00Z,Lake,Lake,NA,NA,NA,17.27778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.73,104.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,NA,NA,0.39,NA,7.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,1.96698,14.2
FDEP Lake 1,GTMGL1NUT,2019-02-04T12:53:00Z,Lake,Lake,0.0096,0.008,119,14,NA,0.075,9.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0028,7.32,73.3,0.83,NA,NA,NA,NA,0.016,0.18,0.065,NA,NA,NA,0.002,0.02,0.067,0.0097,0.004,0.002,0.008,0.018,NA,NA,0.005,NA,NA,7.38,NA,NA,0.0063,0.002,0.33,NA,682,2.1,0.73,NA,0.092,NA,NA,0.004,2,NA,0.7,NA,NA,NA,NA,16,0.4,NA,3.5,15.2
FDEP Lake 2,GTMGL2NUT,2018-07-11T12:22:00Z,Lake,Lake,NA,NA,134,32,NA,NA,NA,76,NA,82,NA,NA,NA,NA,NA,NA,NA,7.21,98.1,2,NA,NA,330,10,NA,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,0.004,NA,NA,7.97,5.1,NA,NA,NA,1.11,0.6,2198,NA,2,NA,0.17,NA,NA,NA,26,15,NA,NA,NA,NA,NA,30,0.65,NA,0.8,30.8
FDEP Lake 2,GTMGL2NUT,2018-08-08T09:50:00Z,Lake,Lake,NA,NA,NA,29.1,NA,NA,NA,42.1,NA,44.8,NA,4,NA,4,NA,NA,NA,4.04,53.2,1.64,NA,NA,84,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018,NA,NA,0.01,1.66,NA,7.88,4,NA,NA,NA,0.66,0.5,1332,NA,1.62,1.62,0.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,1.3,29.6
FDEP Lake 2,GTMGL2NUT,2018-09-06T10:48:00Z,Lake,Lake,0.16,0.008,108,28.8,1500,0.066,8e-4,20,NA,22,NA,NA,NA,NA,NA,1300,0.002,4.88,63.8,1.5,NA,NA,10,10,0.016,0.22,0.047,170,8400,140,8e-4,0.02,2.1,0.002,0.004,0.002,0.008,0.011,NA,NA,0.004,NA,NA,7.85,2.9,NA,0.004,0.002,0.65,NA,1307,1.4,1.7,NA,0.064,NA,NA,0.004,8,4.5,NA,NA,NA,NA,NA,25,0.7621951219512195,NA,3.8,28.8
FDEP Lake 2,GTMGL2NUT,2018-10-22T11:23:00Z,Lake,Lake,NA,NA,NA,25.3,NA,NA,NA,35.1,NA,40.5,NA,5,NA,5,NA,NA,NA,7.62,85.1,2.16,NA,NA,40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,0.01,1.59,NA,8.13,6.8,NA,NA,NA,2.46,0.4,4599,NA,2.73,2.73,0.0835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,2.6,20.1
FDEP Lake 2,GTMGL2NUT,2018-11-07T11:40:00Z,Lake,Lake,NA,NA,NA,25.5,NA,NA,NA,25.7,NA,31.3,NA,2.5,NA,2.7,NA,NA,NA,6.29,79.5,2.5,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053,NA,NA,0.008,1.54,NA,8.12,7.6,NA,NA,NA,2.89,0.65,5370,NA,2.08,2.08,0.0389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,2.6,26.2
FDEP Lake 2,GTMGL2NUT,2018-12-05T11:29:00Z,Lake,Lake,NA,NA,100,10.9,NA,NA,NA,5.4,NA,6.8,NA,NA,NA,NA,NA,NA,NA,6.4,64.3,1,NA,NA,20,10,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017,NA,NA,0.004,NA,NA,7.45,1.9,NA,NA,NA,1.07,1,2091,NA,1.1,NA,0.048,NA,NA,NA,4,2.6,NA,520,99,95,1200,20,0.88392,NA,2.5,15.5
FDEP Lake 2,GTMGL2NUT,2019-01-22T13:04:00Z,Lake,Lake,NA,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.51,102.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48,NA,NA,NA,NA,2.4,0.4,4476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82296,NA,1.65405,13
FDEP Lake 2,GTMGL2NUT,2019-02-04T12:24:00Z,Lake,Lake,0.0024,0.008,112,14,NA,0.038,8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,8.1,81.6,1,NA,NA,NA,NA,0.016,0.21,0.024,NA,NA,NA,0.002,0.02,0.06,0.0027,0.004,0.002,0.008,0.062,NA,NA,0.024,NA,NA,7.92,NA,NA,0.004,0.002,0.99,0.5,1931,1.5,1.2,NA,0.056,NA,NA,0.004,17,NA,16,NA,NA,NA,NA,16,0.85344,NA,3.7,15.3
Lake Middle,GTMLMNUT,2018-01-17T12:06:00Z,Lake,Lake,NA,NA,NA,18.333333333333336,NA,NA,NA,21.8,NA,22.1,NA,5,NA,5,NA,NA,NA,10.11,97.6,1.12,NA,NA,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,NA,NA,0.021,1.73,NA,8.06,5,NA,NA,NA,6.9,0.4,12039,NA,2.16,2.17,0.0826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.132099999999998,11.7
Lake Middle,GTMLMNUT,2018-02-14T10:25:00Z,Lake,Lake,NA,NA,NA,15,NA,NA,NA,46,NA,60,NA,10,NA,10,NA,NA,NA,9.04,92.7,1.27,NA,NA,52,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,NA,NA,0.044,1.5,NA,7.44,19,NA,NA,NA,4.46,0.2,7998,NA,2.32,2.36,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.369,15.2
Lake Middle,GTMLMNUT,2018-03-28T10:23:00Z,Lake,Lake,NA,NA,NA,20.9,NA,NA,NA,84,NA,101,NA,10,NA,11,NA,NA,NA,7.04,80.4,1.27,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,NA,NA,0.069,1.55,NA,7.87,24,NA,NA,NA,4.7,0.15,8417,NA,2.77,2.84,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,2,20.1
Lake Middle,GTMLMNUT,2018-04-24T09:38:00Z,Lake,Lake,NA,NA,NA,21.5,NA,NA,NA,35,NA,42,NA,10,NA,10,NA,NA,NA,6.37,74.8,1.33,NA,NA,73,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071,NA,NA,0.033,1.56,NA,7.46,10,NA,NA,NA,4.8,0.2,8606,NA,1.71,1.74,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,4.4,21.8
Lake Middle,GTMLMNUT,2018-05-30T12:52:00Z,Lake,Lake,NA,NA,NA,26.6,NA,NA,NA,44.5,NA,49.5,NA,5,NA,5.9,NA,NA,NA,5.34,69.6,1.24,NA,NA,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,NA,NA,0.059,1.63,NA,7.81,5.1,NA,NA,NA,6.36,0.5,11232,NA,2.25,2.31,0.0414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8231707317073171,NA,2,26.6
Lake Middle,GTMLMNUT,2018-06-11T10:25:00Z,Lake,Lake,NA,NA,NA,27.4,NA,NA,NA,18.7,NA,21.4,NA,2.9,NA,2,NA,NA,NA,3.7,49.2,1.48,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095,NA,NA,0.011,1.59,NA,7.79,3.6,NA,NA,NA,4.74,0.5,8561,NA,1.69,1.7,0.0695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9146341463414634,NA,2.3,28.4
Lake Middle,GTMLMNUT,2018-07-11T11:45:00Z,Lake,Lake,NA,NA,108,32,NA,NA,NA,19,NA,22,NA,NA,NA,NA,NA,NA,NA,5.2,71.2,1.7,NA,NA,10,10,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,0.078,NA,NA,7.6,2.8,NA,NA,NA,3.88,0.7,7131,NA,1.9,NA,0.064,NA,NA,NA,24,20,NA,NA,NA,NA,NA,22,0.8841463414634146,NA,0.6,30.6
Lake Middle,GTMLMNUT,2018-08-08T09:30:00Z,Lake,Lake,NA,NA,NA,29.2,NA,NA,NA,13.8,NA,16.1,NA,3.2,NA,3.2,NA,NA,NA,3.65,48.5,2.4,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169,NA,NA,0.029,1.58,NA,7.79,3.2,NA,NA,NA,2.43,0.4,4598,NA,0.95,0.97,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8231707317073171,NA,1.5,29.9
Lake Middle,GTMLMNUT,2018-09-06T10:15:00Z,Lake,Lake,0.002,0.008,104,28.4,3000,0.039,8e-4,19,NA,21,NA,NA,NA,NA,NA,2600,0.002,5.68,80,1.6,NA,NA,10,10,0.016,0.39,0.014,170,17000,280,8e-4,0.02,0.11,0.002,0.004,0.002,0.008,0.011,NA,NA,0.004,NA,NA,8.02,2.5,NA,0.004,0.002,2.63,0.5,4943,0.87,1.8,NA,0.11,NA,NA,0.004,53,29,NA,NA,NA,NA,NA,21,0.8231707317073171,NA,3.8,28.9
Lake Middle,GTMLMNUT,2018-10-22T11:06:00Z,Lake,Lake,NA,NA,NA,24.6,NA,NA,NA,57,NA,63,NA,20,NA,20,NA,NA,NA,7.42,84.3,2.03,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,NA,0.044,1.62,NA,8.01,20,NA,NA,NA,4.8,0.2,8575,NA,2.67,2.71,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9756097560975611,NA,4,20.3
Lake Middle,GTMLMNUT,2018-11-07T11:21:00Z,Lake,Lake,NA,NA,NA,25.2,NA,NA,NA,38.5,NA,46.6,NA,4,NA,4.5,NA,NA,NA,7.08,89.7,1.52,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053,NA,NA,0.037,1.55,NA,7.96,10.9,NA,NA,NA,5.26,0.35,9411,NA,1.55,1.59,0.0735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8231707317073171,NA,1.9,25.7
Lake Middle,GTMLMNUT,2018-12-05T11:02:00Z,Lake,Lake,NA,NA,0.47,10.6,NA,NA,NA,24,NA,26,NA,NA,NA,NA,NA,NA,NA,8.24,87.8,0.055,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8440,NA,NA,0.009,NA,NA,7.87,2.4,NA,NA,NA,9.08,0.4,15511,NA,660,NA,18,NA,NA,NA,1.3,14,NA,0.004,64,4500,1.5,23,1.09728,NA,4.2,16
