site,station_code,date_sampled,activity_type,latitude,longitude,component_short,component_long,result,remark,units,mdl,pql,mrl,dilution,date_received,date_analyzed,test_comments,analysis_method,lab_id,lab_accreditation_authority,laboratory,rq_number,WBID,REGsites
FDEP Lake 1,GTMGL1NUT,2019-02-04T12:53:00Z,Sample,NA,NA,"2, 4-D","2,4-Dichlorophenoxyacetic acid",0.0096,NA,ug/L,1,TRUE,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2019-02-04T12:53:00Z,Sample,NA,NA,Pyraclostrobin,Pyraclostrobin,0.002,U,ug/L,1,TRUE,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,OD664b/OD665a,OD664b/OD665a,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,CHLa_UnC,"Chlorophyll a, Uncorrected (Trichromatic)",4.3,NA,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,WTEM,Water temperature,21.3,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,SECCHI,Secchi Disk,NA,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,DO_p,"Dissolved oxygen, percent saturation",32.7,NA,%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,ATEMP,Air temperature,29.3,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,WIND_S,Wind Speed,3.3,NA,m/s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,WIND_D,Wind Direction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,WDEPTH,Water Depth,0.3,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,DO_p,"Dissolved oxygen, percent saturation",44.3,NA,%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,ATEMP,Air temperature,25.4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,WIND_S,Wind Speed,3.3,NA,m/s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,WIND_D,Wind Direction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2019-02-04T12:53:00Z,Sample,NA,NA,Triclopyr,Triclopyr,0.004,U,ug/L,1,TRUE,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,MCPP,Methylchlorophenoxypropionic acid,0.002,U,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Triclopyr,Triclopyr,0.004,U,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,DTKN,"Kjeldahl Nitrogen, Dissolved",1.06,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 351.2 Rev. 2.0,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,NH4_N,"Ammonia as Nitrogen, Dissolved",0.039,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 350.1 Rev. 2.0,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,TP,Total Phosphorus,0.052,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 365.1 Rev. 2.0,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,NO23F,Nitrate+Nitrite,0.012,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 353.2 Rev. 2.0,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,NO23F,Nitrate+Nitrite,0.004,U,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 353.2 Rev. 2.0,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,FECCOL,"Coliform, Fecal",40,B,CFU/100mL,NA,NA,NA,NA,NA,NA,NA,SM 9222 D,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,ENTERO,Enterococcus,31,NA,MPN/100mL,NA,NA,NA,NA,NA,NA,NA,ASTM D6503,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,SpCond,Specific Conductance,755,NA,uS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Alkalinity,Total Alkalinity,117,A,mg CaCO3/L,NA,NA,NA,NA,NA,NA,NA,SM 2320 B-105,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,TSS,Total Suspended Solids,3,IA,mg/L,NA,NA,NA,NA,NA,NA,NA,SM 2540 D-105,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,SECCHI,Secchi Disk,NA,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,TN,Total Nitrogen,0.53,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,Calculation,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,TKN,Kjeldahl Nitrogen,0.52,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 351.2 Rev. 2.0,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,CHLb_Tri_N,Chlorophyll b (Trichromatic),1,U,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,CHLc_Tri_N,Chlorophyll c (Trichromatic),1,U,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,OD664b/OD665a,OD664b/OD665a,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,PHEA,Pheophytin a,1.3,NA,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Pyraclostrobin,Pyraclostrobin,0.002,U,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Primidone,Primidone,0.004,U,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,WTEM,Water temperature,29.1,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,TP,Total Phosphorus,0.005,U,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 365.1 Rev. 2.0,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,pH,pH,7.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Field,NA,NA,SALT,Salinity,0.35,NA,ppt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,SpCond,Specific Conductance,696,NA,uS/cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,pH,pH,7.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,DO,Dissolved oxygen,2.54,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,SALT,Salinity,0.34,NA,ppt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Sample,NA,NA,Alkalinity,Total Alkalinity,116,NA,mg CaCO3/L,0,TRUE,NA,NA,NA,NA,NA,SM 2320 B-97,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Sample,NA,NA,Fluoride,Fluoride,0.19,NA,mg F/L,1,FALSE,NA,NA,NA,NA,NA,SM 4500 F-C-97,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Sample,NA,NA,W-TDS,TDS,442,A,mg/L,1,TRUE,NA,NA,NA,NA,NA,SM 2540 C-97,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Sample,NA,NA,TSS,Total Suspended Solids,2,IA,mg/L,1,TRUE,NA,NA,NA,NA,NA,SM 2540 D-97,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Sample,NA,NA,TP,Total Phosphorus,0.07,NA,mg/L,1,FALSE,NA,NA,NA,NA,NA,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Sample,NA,NA,W-CL-IC,Chloride,100,NA,mg Cl/L,0,TRUE,NA,NA,NA,NA,NA,EPA 300.0 Rev. 2.1,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Sample,NA,NA,W-SO4-IC,Sulfate,53,NA,mg SO4/L,0,TRUE,NA,NA,NA,NA,NA,EPA 300.0 Rev. 2.1,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Sample,NA,NA,TKN,Kjeldahl Nitrogen,0.77,NA,mg/L,0,FALSE,NA,NA,NA,NA,NA,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Sample,NA,NA,DTKN,"Kjeldahl Nitrogen, Dissolved",0.81,NA,mg/L,0,FALSE,NA,NA,NA,NA,NA,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-12-05T11:57:00Z,Sample,NA,NA,CHLa_C,"Chlorophyll a, Corrected (Monochromatic)",1.4,I,ug/L,0,TRUE,NA,NA,NA,NA,NA,SM 10200 H (mod.),E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Field,NA,NA,WDEPTH,Water Depth,0.45,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,ENTERO,Enterococcus,95,NA,MPN/100mL,NA,NA,NA,NA,NA,NA,NA,ASTM D6503,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,"2, 4-D","2,4-Dichlorophenoxyacetic acid",0.14,NA,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Sucra,Sucralose,1.6,NA,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Bentazon,Bentazon,0.12,J,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Imidacloprid,Imidacloprid,0.0071,I,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Diuron,Diuron,0.019,NA,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-11-07T12:03:00Z,Sample,NA,NA,TP,Total Phosphorus,0.0731,=,mg/L,1,NA,1,TRUE,NA,NA,NA,365.1,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-11-07T12:03:00Z,Sample,NA,NA,TP,Total Phosphorus,0.565,=,mg/L,1,NA,1,TRUE,NA,NA,NA,365.1,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Linuron,Linuron,0.004,U,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Aceta,Acetaminophen,0.008,U,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Fenuron,Fenuron,0.016,U,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Imazapyr,Imazapyr,0.12,NA,ug/L,NA,NA,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2019-02-04T12:53:00Z,Sample,NA,NA,Aceta,Acetaminophen,0.008,U,ug/L,1,TRUE,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,W-TOC,Organic Carbon,20,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,SM 5310 B-00,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,DO_p,"Dissolved oxygen, percent saturation",62,NA,%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,ATEMP,Air temperature,30.4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,WIND_S,Wind Speed,1.2,NA,m/s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,WIND_D,Wind Direction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,WDEPTH,Water Depth,0.49,NA,m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,TN,Total Nitrogen,0.95,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,Calculation,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,TKN,Kjeldahl Nitrogen,0.94,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 351.2 Rev. 2.0,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,DTKN,"Kjeldahl Nitrogen, Dissolved",1.25,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 351.2 Rev. 2.0,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,CHLc_Tri_N,Chlorophyll c (Trichromatic),1.4,U,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Sample,NA,NA,FECCOL,"Coliform, Fecal",30,B,CFU/100mL,NA,NA,NA,NA,NA,NA,NA,SM 9222 D,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Field,NA,NA,WTEM,Water temperature,28.4,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2019-02-04T12:53:00Z,Sample,NA,NA,Naproxen,Naproxen,0.008,U,ug/L,1,TRUE,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2019-02-04T12:53:00Z,Sample,NA,NA,Primidone,Primidone,0.0063,I,ug/L,1,TRUE,NA,NA,NA,NA,NA,EPA 8321B,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,CHLa_C,"Chlorophyll a, Corrected (Monochromatic)",5.6,NA,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,CHLa_UnC,"Chlorophyll a, Uncorrected (Trichromatic)",6.4,NA,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,PHEA,Pheophytin a,0.88,I,ug/L,NA,NA,NA,NA,NA,NA,NA,SM 10200 H,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,TKN,Kjeldahl Nitrogen,1.1,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,DTKN,"Kjeldahl Nitrogen, Dissolved",1,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 351.2 Rev. 2.0,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,NH4_N,"Ammonia as Nitrogen, Dissolved",0.036,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 350.1 Rev. 2.0,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,TP,Total Phosphorus,0.1,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 365.1 Rev. 2.0,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2019-02-04T12:53:00Z,Field,NA,NA,ATEMP,Air temperature,14,NA,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2019-02-04T12:53:00Z,Field,NA,NA,WIND_S,Wind Speed,3.5,NA,m/s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2019-02-04T12:53:00Z,Field,NA,NA,WIND_D,Wind Direction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Turbidity,Turbidity,1.5,NA,NTU,NA,NA,NA,NA,NA,NA,NA,EPA 180.1 Rev 2.8,E31780,NELAP,FloridaDEP,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-08-08T10:23:00Z,Field,NA,NA,SALT,Salinity,0.37,NA,ppt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-10-22T11:50:00Z,Sample,NA,NA,NO23F,Nitrate+Nitrite,0.011,NA,mg/L,NA,NA,NA,NA,NA,NA,NA,EPA 353.2 Rev. 2.0,E82502,NELAC,ALS Environmental,NA,Lake,Lake
FDEP Lake 1,GTMGL1NUT,2018-09-06T11:32:00Z,Sample,NA,NA,Fluoride,Fluoride,0.2,NA,mg F/L,NA,NA,NA,NA,NA,NA,NA,SM 4500 F-C-105,E31780,NELAP,FloridaDEP,NA,Lake,Lake
